what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1343532524630
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1343532524630
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1343532524631
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1343532524632
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1343532524632
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1343532524633
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1343532524635
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1343532524636
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1343532524636
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1343532524637
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1343532524638
started,bundle,org.tigris.subversion.subclipse.core,1.8.2,"org.tigris.subversion.subclipse.core",1343532524638
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1343532524638
started,bundle,org.tigris.subversion.subclipse.ui,1.8.2,"org.tigris.subversion.subclipse.ui",1343532524640
os,sysinfo,,,"win32",1343532524643
arch,sysinfo,,,"x86_64",1343532524643
ws,sysinfo,,,"win32",1343532524643
locale,sysinfo,,,"zh_CN",1343532524643
processors,sysinfo,,,"4",1343532524643
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343532524643
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1343532524643
java.specification.name,sysinfo,,,"Java Platform API Specification",1343532524643
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343532524643
java.specification.version,sysinfo,,,"1.7",1343532524643
java.vendor,sysinfo,,,"Oracle Corporation",1343532524643
java.version,sysinfo,,,"1.7.0_01",1343532524643
java.vm.info,sysinfo,,,"mixed mode",1343532524643
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343532524643
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343532524643
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343532524643
java.vm.specification.version,sysinfo,,,"1.7",1343532524643
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343532524643
java.vm.version,sysinfo,,,"21.1-b02",1343532524643
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1343532526737
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1343532529603
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1343532533023
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1343532533040
