what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607037686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607040451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607054137
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343607063340
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343607064397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607101934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607109714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607111230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607112405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607116638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607200402
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343607205671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607207537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607214647
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343607224081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607231041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607240336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607244921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607249469
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepInto",1343607326320
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343607326973
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343607331994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343607332114
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343607333449
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343607337083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607347978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607372228
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1343607402348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607405977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607416620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607423222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607501037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607530287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343607534852
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1343607537964
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343607555158
opened,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1343607555260
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1343607555287
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343607555305
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1343607559732
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343607560223
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1343607560331
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1343607560353
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1343607560375
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343607563188
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343607563291
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1343607566570
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343607567752
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1343607569407
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1343607570354
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343607570763
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343607571612
