what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343548817278
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1343548818223
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1343548818339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548818355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548818635
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343548818814
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343548820473
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343548821611
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343548822441
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343548822799
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343548829988
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343548831825
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepReturn",1343548833707
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1343548833760
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.commands.Inspect",1343548840695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548840715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548844560
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1343548846976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548849807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343548889224
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1343548891522
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1343548891877
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1343548892687
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1343548894632
